INSERT INTO Cart (Ca_id, C_id, COUNT, T_cost) VALUES 
(1, 48, 3, 37.43),
(2, 94, 10, 35.72),
(3, 37, 10, 38.22),
(4, 41, 8, 57.2),
(5, 50, 2, 80.5),
(6, 80, 2, 17.51),
(7, 27, 6, 53.89),
(8, 25, 4, 28.11),
(9, 3, 7, 78.42),
(10, 93, 2, 41.16),
(11, 48, 5, 26.23),
(12, 74, 1, 45.67),
(13, 67, 4, 25.97),
(14, 55, 4, 37.38),
(15, 45, 7, 84.15),
(16, 66, 2, 91.17),
(17, 85, 5, 12.55),
(18, 70, 1, 40.93),
(19, 75, 9, 28.53),
(20, 88, 6, 46.05),
(21, 7, 5, 91.08),
(22, 14, 3, 55.92),
(23, 11, 6, 1.57),
(24, 49, 8, 45.19),
(25, 67, 6, 18.37),
(26, 28, 7, 9.15),
(27, 19, 7, 89.31),
(28, 6, 7, 41.18),
(29, 71, 10, 58.6),
(30, 59, 8, 24.87),
(31, 52, 6, 96.93),
(32, 4, 4, 57.94),
(33, 23, 3, 71.92),
(34, 79, 2, 71.66),
(35, 2, 9, 32.19),
(36, 100, 5, 38.54),
(37, 6, 10, 65.05),
(38, 48, 4, 79.34),
(39, 5, 1, 11.49),
(40, 49, 10, 90.57),
(41, 49, 10, 62.44),
(42, 1, 9, 50.65),
(43, 78, 6, 61.9),
(44, 42, 4, 89.05),
(45, 32, 7, 81.84),
(46, 70, 6, 23.18),
(47, 21, 9, 94.4),
(48, 20, 8, 23.18),
(49, 93, 8, 80.41),
(50, 89, 9, 33.3),
(51, 71, 8, 96.73),
(52, 90, 6, 95.45),
(53, 99, 9, 21.74),
(54, 89, 8, 22.7),
(55, 81, 2, 23.92),
(56, 27, 6, 38.66),
(57, 92, 7, 53.72),
(58, 48, 7, 22.44),
(59, 60, 6, 22.81),
(60, 56, 3, 78.69),
(61, 59, 8, 35.99),
(62, 69, 9, 93.99),
(63, 56, 6, 83.73),
(64, 44, 4, 84.84),
(65, 22, 2, 40.33),
(66, 98, 3, 60.94),
(67, 8, 4, 12.16),
(68, 38, 5, 91.5),
(69, 4, 9, 51.72),
(70, 52, 8, 47.58),
(71, 52, 8, 16.4),
(72, 85, 10, 41.91),
(73, 76, 6, 42.99),
(74, 48, 3, 82.5),
(75, 69, 2, 91.44),
(76, 19, 6, 43.05),
(77, 52, 7, 8.27),
(78, 44, 8, 34.11),
(79, 68, 2, 5.62),
(80, 6, 3, 10.83),
(81, 57, 1, 11.08),
(82, 60, 3, 62.66),
(83, 45, 6, 9.89),
(84, 71, 9, 23.31),
(85, 63, 9, 96.66),
(86, 39, 1, 52.14),
(87, 59, 6, 93.53),
(88, 90, 7, 14.67),
(89, 33, 8, 61.45),
(90, 62, 8, 1.66),
(91, 88, 5, 15.31),
(92, 4, 8, 49.18),
(93, 64, 4, 51.18),
(94, 66, 5, 19.69),
(95, 61, 1, 83.52),
(96, 36, 8, 3.48),
(97, 62, 1, 19.6),
(98, 42, 10, 33.46),
(99, 90, 2, 95.11),
(100, 32, 6, 14.92);
