INSERT INTO Cart_Products (Cp_id, Ca_id, P_id, COUNT) VALUES 
(1, 1, 34, 5),
(2, 2, 24, 3),
(3, 3, 6, 10),
(4, 4, 71, 4),
(5, 5, 14, 5),
(6, 6, 70, 9),
(7, 7, 21, 3),
(8, 8, 88, 10),
(9, 9, 21, 1),
(10, 10, 83, 10),
(11, 11, 66, 7),
(12, 12, 36, 6),
(13, 13, 85, 10),
(14, 14, 43, 6),
(15, 15, 35, 8),
(16, 16, 61, 8),
(17, 17, 52, 9),
(18, 18, 97, 8),
(19, 19, 45, 5),
(20, 20, 76, 1),
(21, 21, 32, 10),
(22, 22, 12, 9),
(23, 23, 98, 3),
(24, 24, 59, 8),
(25, 25, 99, 9),
(26, 26, 21, 10),
(27, 27, 83, 8),
(28, 28, 33, 10),
(29, 29, 44, 1),
(30, 30, 67, 1),
(31, 31, 64, 3),
(32, 32, 99, 7),
(33, 33, 94, 3),
(34, 34, 68, 1),
(35, 35, 78, 9),
(36, 36, 61, 8),
(37, 37, 54, 2),
(38, 38, 39, 6),
(39, 39, 44, 2),
(40, 40, 53, 3),
(41, 41, 12, 3),
(42, 42, 62, 5),
(43, 43, 33, 1),
(44, 44, 17, 3),
(45, 45, 36, 2),
(46, 46, 34, 10),
(47, 47, 97, 1),
(48, 48, 96, 5),
(49, 49, 44, 1),
(50, 50, 20, 6),
(51, 51, 67, 4),
(52, 52, 97, 9),
(53, 53, 90, 10),
(54, 54, 96, 2),
(55, 55, 86, 2),
(56, 56, 72, 6),
(57, 57, 91, 3),
(58, 58, 8, 2),
(59, 59, 50, 7),
(60, 60, 6, 6),
(61, 61, 21, 2),
(62, 62, 55, 10),
(63, 63, 38, 3),
(64, 64, 92, 9),
(65, 65, 35, 10),
(66, 66, 72, 6),
(67, 67, 75, 9),
(68, 68, 34, 4),
(69, 69, 57, 7),
(70, 70, 30, 10),
(71, 71, 31, 9),
(72, 72, 40, 1),
(73, 73, 39, 5),
(74, 74, 97, 6),
(75, 75, 22, 8),
(76, 76, 67, 2),
(77, 77, 74, 2),
(78, 78, 66, 6),
(79, 79, 91, 3),
(80, 80, 60, 10),
(81, 81, 25, 2),
(82, 82, 78, 1),
(83, 83, 20, 6),
(84, 84, 38, 9),
(85, 85, 57, 10),
(86, 86, 21, 8),
(87, 87, 33, 5),
(88, 88, 77, 10),
(89, 89, 85, 9),
(90, 90, 19, 9),
(91, 91, 89, 4),
(92, 92, 10, 9),
(93, 93, 52, 8),
(94, 94, 26, 1),
(95, 95, 41, 10),
(96, 96, 59, 10),
(97, 97, 18, 8),
(98, 98, 85, 6),
(99, 99, 51, 2),
(100, 100, 75, 8);
