INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (63, '2023-08-23', '2023-04-03', 325.43);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (60, '2023-10-13', '2023-09-13', 759.54);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (79, '2023-06-26', '2024-01-18', 50.49);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (11, '2023-10-27', '2023-02-21', 283.22);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (42, '2023-11-01', '2023-03-23', 270.53);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (20, '2024-01-26', '2023-08-08', 416.09);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (99, '2023-08-31', '2023-08-04', 105.83);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (23, '2023-09-03', '2023-06-10', 710.12);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (13, '2023-05-26', '2023-08-29', 512.83);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (37, '2023-02-16', '2023-09-24', 734.08);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (100, '2023-12-13', '2023-07-19', 833.21);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (31, '2023-10-30', '2023-10-01', 831.71);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (6, '2023-04-28', '2023-06-12', 270.87);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (19, '2024-02-10', '2023-04-05', 461.52);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (88, '2023-09-14', '2023-07-10', 209.87);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (54, '2023-12-04', '2023-05-07', 182.92);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (29, '2023-12-19', '2023-04-27', 858.92);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (2, '2023-04-16', '2023-10-02', 426.35);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (22, '2023-06-10', '2023-04-29', 938.69);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (44, '2024-01-14', '2023-04-06', 127.36);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (39, '2023-07-20', '2023-03-20', 125.52);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (38, '2023-10-30', '2024-01-14', 397.33);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (86, '2023-08-08', '2023-05-28', 451.86);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (14, '2023-10-02', '2023-04-18', 182.5);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (51, '2023-04-07', '2023-07-22', 577.19);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (93, '2023-12-24', '2023-12-29', 920.8);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (78, '2023-04-16', '2023-12-01', 777.89);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (55, '2023-04-06', '2023-09-30', 842.95);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (41, '2023-08-28', '2023-09-10', 406.19);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (92, '2023-08-13', '2023-12-06', 633.8);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (77, '2023-03-16', '2023-08-21', 273.04);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (28, '2023-07-13', '2023-05-01', 236.5);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (66, '2023-09-01', '2024-02-03', 653.63);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (95, '2023-03-07', '2024-01-19', 189.5);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (8, '2023-05-23', '2023-10-13', 724.29);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (50, '2023-04-06', '2023-03-28', 222.28);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (15, '2023-05-15', '2023-07-12', 290.8);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (5, '2023-08-07', '2023-05-22', 95.03);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (64, '2023-06-09', '2023-06-04', 423.06);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (91, '2023-05-10', '2023-07-08', 981.79);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (74, '2023-06-17', '2024-01-15', 420.37);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (9, '2023-08-23', '2024-01-31', 836.24);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (16, '2023-11-05', '2023-09-05', 33.66);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (26, '2023-11-06', '2023-03-21', 612.84);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (52, '2023-02-23', '2023-12-27', 130.26);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (73, '2023-06-07', '2024-01-31', 385.85);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (48, '2023-04-17', '2023-09-17', 846.14);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (56, '2023-05-30', '2023-07-06', 366.91);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (59, '2023-09-06', '2023-12-10', 31.49);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (97, '2023-03-17', '2023-09-25', 922.93);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (62, '2023-11-16', '2023-12-08', 30.58);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (49, '2023-04-16', '2023-09-17', 979.81);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (32, '2023-05-31', '2023-12-30', 406.6);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (57, '2023-12-26', '2023-06-05', 199.93);
INSERT INTO Order_ (C_id, O_date, Ship_date, T_cost) VALUES (89, '2023-08-23', '2023-11-03', 957.47);
