INSERT INTO Product (P_name, P_type, Price, S_quantity, Descr) VALUES 
('Jarod Jacobson', 'Home & Kitchen', 9494.62, 672, 'HGmjaFXQkYknxEShdQPdmnkVaxwbElEsgFVspPvzEFDgroHoOEXVpoOwVCrEUznHnIQHMsxyIUZpSzHXaHvMRHdHDADmHAlhNLhq'),
('Christy Rosales', 'Electronics', 3547.17, 346, 'ftzAFhJDuxfoqaGXkuMPBWdnmbzCPlbzcJgDxPmieUwQUIQVCUxmSuHlknclRHxjJVFtqiEpKcUSxUYaftMZUkZpRMQlxXWlWJWB'),
('Nidia Chait', 'Home & Kitchen', 872.63, 359, 'sythkgZehhmMbwWqklPhVAQVhcoAgfcvMEQtOSDASidbxgSORayIarVyKLEtEQLKigMujKJiWeAVyNjwInyfBYTNtQoiJDfVzUot'),
('Josef Santoro', 'Food', 9344.84, 438, 'bTcmOcbMmnKozcYQvjyyeKXjaRmcRNJdCHNNCwpLprHyKNzXjYDPThTIksqZrJtKOaNNxIvdFxNQHTjrSKfUgBpZCrMAJYVTGZsd'),
('James Olson', 'Clothing', 6105.94, 249, 'tTodbifxVXdUTrYcCbUKepBeUNKzSiRWEbLoHyBRacTOtKXJWZTGPrTFjeCmVBjQnLRGwlBSxVFRmBhNQnDwRtMAxAzTFzFxzvME'),
('Raymond Stewart', 'Clothing', 4655.66, 729, 'uecBkyqMqPjHsfWaVSVpbyFiGXAsrJLAfpFqlHYbpGacXpTFQbWHIdhiqyTRdAiQiYkSXYNDSFETpvgiXisNGTJLBmPwZrHFJtBh'),
('Francis Myers', 'Electronics', 3472.62, 564, 'KBIjhBEadWlLTgDoOssfjLJXoyQCZpJJzYKBohQEjWSOIZOHiPVBqHyNpgHUpSWEWpUhPxVIpYWdqPumOssHxEamWZTjflULQKGj'),
('Barbara Brooks', 'Books', 9403.23, 952, 'dLNLIuLGfRDjjKdOEihCWnMqFMJoetrPibYqQOMHlwLHvhDJqCSsEKxxXfxFWfWYiANRwXROJxuNTgsHkADHrYQBgajZMsLVQpsZ'),
('Mary Mather', 'Home & Kitchen', 9033.76, 548, 'pycUqxpmaXkvhsBAxrlZmtoruQGnHKeEKQNNpONKoWQJNPGVXWIfGHZAlAGIQLovZmaUxiktNrjgjBPiJrJdnrdLzFTzuSZgMeAG'),
('Dorothy Pace', 'Food', 5593.71, 726, 'twWZBuMORKUytPAOQYeZDJUJVvFnryKMTLraLOEBfejcZzCJWxXqzKRHbnvNDJiCPWvZdWFdxIZLSEAtAzOKODOodyHADrHgTIIZ'),
('Karen Calandra', 'Clothing', 6045.33, 737, 'nfVdYNQZItecOWEDHtqOOlxjCjhPxwREIcuPsHVMjwZErvceftUffmRNEvljVDUoHcZSksMcOSGmkRsZMkbUvHmjvgwuozdiueNc'),
('Wayne Obrien', 'Clothing', 8604.76, 298, 'sNJpoMuPgTAthvKNnwmgoZnuoEdtotsiylXxgeAGvmYOdZYJYwXIdJKOZGlEOQFlAEDLrLNjTQAHJPKWNrxmPLCEZuhayVAbuhNe'),
('Katelyn Moorehead', 'Food', 7450.39, 476, 'wCDIzWkNomZtkxDUkWsuANtQfqjQwjvwGFemehvKWKoFaHRpabRGLSGqbYcnscHxpGKlXEyyluTnBFKdMzQjDXriVQYPAHFGsWAf'),
('Elba Calhoun', 'Home & Kitchen', 9040.94, 729, 'QuekOVSLnNAcruyKGJsJNwXWeAohCLfyDiwVDwOEjhDUBAljRxttoBgIjVAxzNWIgpjOQcsXMDVwPIsGtDvvEWwyKanZEaaIPLvA'),
('Esther Schulweis', 'Food', 5534.71, 508, 'ryESSNPqhjYkFmojFLJLiVAhEwZQwZFAyBEGyFmcMtViUzVQmMVVOAPHQFwRlcMKffvLdmQbcAdjQqdgsDUfqVJfWdCsUCOiKJQR'),
('Brianna Diaz', 'Books', 7968.21, 415, 'WgIMdWEOCJGOCNvoTBRERqIBxmsanuWclrwQvMiriWQCEpuGJIcwjrOsmZeXnnPjgLzFufGScfbHBiAoyGEqLxNkDbtJYYmQyiZa'),
('Marie Lopez', 'Books', 8715.32, 804, 'sPRqiPgJxSgVWQMwMbdOffltfXCUeubHSHZngBTxmzUjkuApfUqTmTZpcYmPbctWxsTjtnwuIHeEzKGeOCVVnwWvVPKhuNbcFzuW'),
('Stephen Bloomer', 'Home & Kitchen', 6175.98, 828, 'kCoxNFZMzoYCUtnBsbkRLsuFArQUoukbHHkJpKJUgepQIMjgiLzKawDOkhrMAdmxSUcBJIXmKMmKcYjQDzKNmKXsPqCHEcOtraUo'),
('John Dardis', 'Food', 453.9, 222, 'qlxvCxaATeBqWHdaIACCviBeLnkcxHWxnSnANXbKvnWkGtzxFulcGNkoTxgvwozBfiTfsJwMCGklpPzPzBMGJpjeuXrBdVRQVvqU'),
('Juan Quisenberry', 'Home & Kitchen', 9988.17, 182, 'UZcEQoToXGgbMkdJxASRFApouBFBYagivXJkedjFYupymzZSLdEhRYJOifmyLNCiwzlvFVNDCJBMMtIyPCumlJWseDOUmtXfgmWO'),
('Joshua Molitor', 'Home & Kitchen', 8170.99, 245, 'EJHVqPYrVTrywSwgeCTrFIKBbwUDbNGGxkhzUlOLVMxqrsjqzdUclRcBtTrSvjZEGzBzsPDjmRwlEvEUVbwgCgFjDPTEvHXLwShB'),
